
> voyager-app@1.0.0 dev
> vite

Port 5173 is in use, trying another one...

  VITE v5.4.21  ready in 976 ms

  ➜  Local:   http://localhost:5174/
  ➜  Network: use --host to expose
11:53:50 PM [vite] hmr update /src/components/features/DayGroup.jsx, /src/index.css
12:29:55 AM [vite] hmr update /src/components/features/ItineraryList.jsx, /src/index.css
12:30:08 AM [vite] hmr update /src/components/features/DayGroup.jsx, /src/index.css
1:51:26 AM [vite] hmr update /src/components/features/ItineraryList.jsx, /src/index.css
1:59:44 AM [vite] hmr update /src/components/features/ItineraryList.jsx, /src/index.css
2:00:56 AM [vite] hmr update /src/components/features/ItineraryList.jsx, /src/index.css
2:04:45 AM [vite] hmr update /src/components/features/ItineraryList.jsx, /src/index.css
2:44:24 AM [vite] hmr update /src/components/features/PlanItem.jsx, /src/index.css
3:44:23 AM [vite] hmr update /src/components/features/DayGroup.jsx, /src/index.css
4:17:43 AM [vite] hmr update /src/components/features/ItineraryList.jsx, /src/index.css
4:17:48 AM [vite] hmr update /src/components/features/DayGroup.jsx, /src/index.css
4:21:34 AM [vite] hmr update /src/components/features/ItineraryList.jsx, /src/index.css
4:21:40 AM [vite] hmr update /src/components/features/DayGroup.jsx, /src/index.css
4:42:18 AM [vite] hmr update /src/components/features/DayGroup.jsx, /src/index.css
4:48:38 AM [vite] hmr update /src/components/features/DayGroup.jsx, /src/index.css
6:00:56 AM [vite] hmr update /src/components/features/DayGroup.jsx, /src/index.css
6:01:39 AM [vite] hmr update /src/components/features/ItineraryList.jsx, /src/index.css
6:28:23 AM [vite] hmr update /src/components/features/ItineraryList.jsx, /src/index.css
